Reference Text,Hypothesis Text,WER Score
自分は希望スタイルをいつも複数抱えて来店しますが、センスの良いスタッフの意見が役に立っていつも満足のいく仕上がりを施してくださいます。,自分は希望スタイルをいつも複数抱えて来店しますが、センスの良いスタッフの意見が役に立っていつも満足のいく仕上がりを施してくださいます。,0.00%
あれじゃ客は来ないね、,あれじゃ客は来ないね、,0.00%
診察は予約制なのに1時間まちはざらです。,診察は予約制なのに1時間まちは,25.00%
“シールド工法”が良くわかります。,“シールド工法”が良くわかります。,0.00%
エステは受けたことが無いので相場はわかりませんでしたが、まぁ、これなら妥当かな、という感じでした。,エステは受けたことが無いので相場はわかりませんでしたが、ま,40.82%
父には90分コースをセレクトしましたが、新規価格ということで少しお得になっていました。,父には90分コースを,76.74%
友人の紹介で東京の出張マッサージを利用。,友人の紹介で東京の出張マッサージを利用。,0.00%
スタッフがフレンドリー。,スタッフがフレンドリー。,0.00%
お皿は全て重ねてたのですが、しばらくすると女性の従業員が来て、こちらのトロ刺身のお皿はお取りになられましたか?,お皿は全て重ねてたのですが、しばらくすると女性の従業員が来て、こちらのト,34.55%
営業時間は朝9時~夜7時までみたいですが、人気のあるパンはすぐなくなってしまいます。,営業時間は朝9時~夜7時までみたいですが、人気のあるパンはすぐなくなってしまいます。,0.00%
大門側から高野山に入って最初の信号にある出光興産系のガソリンスタンド。,大門側から高野山に入って最初の信号にある出光興産系のガソリンスタンド。,0.00%
テレビにて、こちらの店を知りましたが、こだわりの店と認識していたので正直がっかりさせられました。,テレビにて、こちらの店を知りましたが、こだわりの店と認識していたので正直がっかりさせられました。,0.00%
アアルトさんのコーヒー豆を使ったコーヒーは文句のつけようなし!,,100.00%
値段も普通くらいかな。,値段も普通くらいかな。,0.00%
いつも割りと混んでる。,いつも割りと混んでる。,0.00%
宴会が入って忙しかったのかも知れないが、接客は最悪、味も最低、刺身の盛り合わせは水っぽく、町のスーパーで売っている最低ランクの刺身と同じ味。,宴会が入って,91.43%
夜は5時に行くのが1番です。,夜は5時に行くのが1番です。,0.00%
治療やケアの方も素晴らしく、待合室もここが歯医者だと忘れてしまうくらい立派です。,治療やケアの方も素,77.50%
料理も美味しいし、女将・スタッフの皆さんよい感じでしたよ!,料理も美味しいし、女将・スタッフの皆さんよい感じでしたよ!,0.00%
この様な担当者の姿勢、とても良いと思います。,この様な担当者の姿勢、とても良いと思います。,0.00%
他社と比べても初めての見積もりの内容が非常に具体的でイメージがわきやすく好印象でした。,他社と比べても初めての見積もりの内容が非常に具体的でイメージがわきやすく好印象でした。,0.00%
持ってきてくれるのはいいのですが、他のメニューは食べ終わってしまって「おあずけ」状態です。,持ってきてくれるのはいいのですが、他のメニューは食べ終わってしまって「お,20.00%
また、この店は、土日になるとドライブスルー渋滞ができます。,また、この店は、土日になるとドライ,41.38%
料理は美味しい、雰囲気も良い、なによりお酒が美味しい。,料理は美味しい、雰囲気も良い、なによりお酒が美味しい。,0.00%
最近かなり混んで来ましたが先生は相変わらずマイペースでしっかり診療してくれるので予約が遅くなっても不満はありません。,最近かなり混んで来ましたが先生は相変わらずマイペースでし,51.72%
参ったなぁ、と途方にくれた時ふと最初に「あれではないよな」と思っていた不動明王の像があるお墓。,参ったなぁ、と,85.11%
バッティングセンターとビリヤード台もあって、仕出しをとれる会議室もあり、小さいながらも施設機能は充実してます。,,100.00%
子供お祝い返しに買ったロールケーキがカビていたので、本当に怒りしんとうでした,子供お祝い返しに買ったロー,65.79%
すごく親身にお世話してくれました。,すごく親身にお世話してくれました。,0.00%
最近出来た新しい産婦人科と悩みましたが、こちらの病院を選び正解だったと感じてます。,最近出来た新しい産婦人科と悩みましたが、こちらの病院を選び正解だったと感じてます。,0.00%
その時からのだから?,その時からのだから?,0.00%
美味しいおせんべいの他、ワッフルやゼリーなどもオススメです。,美味しいおせん,76.67%
ずっとコンプレックスだったので、キレイにしていただけて本当に良かったです。,ずっとコンプレックスだったので、キレイにしていただけて本当に良かったです。,0.00%
とりあえず生ビールから始め、華のれんさんのサイトで気になってた「ばくだん」という名物料理でまずは一杯。,とりあえず生ビールから始め、,72.55%
Tacoは1つ3ドルぐらい。,Ta,85.71%
ゼクシィを見て、いろいろなお店に体験に行きましたが、このお店が圧倒的によかったので、通うことにしました。,,100.00%
私はあまりエステにお金をかけれないと思い色々なエステサロンに相談にすごく親身になって下さり他のエステさんより安心できました。,私はあまりエステにお金をかけれないと思い色々なエステサロンに相談にすごく親身になって下さり他のエステさんより安心できました。,0.00%
着付けや和装ヘアスタイルが得意。,着付けや和,68.75%
スタッフの皆さんが笑顔で接してくれて、全然緊張することなく過ごせました。,スタッフの皆さんが笑顔で接してくれて、全然緊張することなく過ごせました。,0.00%
デスクワークで固まった肩や背中を、アロママッサージで気持ちよくほぐしていただいて助かります。,デスクワ,91.30%
最後まで熱々で食べれる温度管理白馬近辺でラーメンと言ったらここですかね。,最後まで熱々で食べれる温度管理白馬近辺でラーメンと言ったらここですかね。,0.00%
声もほとんど筒抜け状態であった。,声もほとんど,62.50%
隠れ家居酒屋という名前にぴったり。,隠れ家居酒屋とい,52.94%
私たちの場合、金銭に絡んだ多重債務の処理等たくさん手がけているとのことで安心して相談できました。,私たちの場合、金銭に,79.17%
在庫の様子がよくわからないけど、デパートの中なのでたぶん小さい。,在庫の様子がよくわからないけど、デパートの中なのでたぶん小さい。,0.00%
若いお客さんよりそれ相応の年代のお客が多く、落ち着いて飲めるBarです。,若いお客さんよりそれ相応の年代のお客が多く、落ち着いて飲めるBarです。,0.00%
出入り口の交差点はもともと歩行者や自転車が多いので、かなり混雑しています。,出入り口の交差点はもともと歩行者や自転車が多いので、かなり混雑しています。,0.00%
食べきれないくらい出てきました。,食べきれないくらい出てきました。,0.00%
小さいお子さんがいるお母さんには最高のお店です。,小さいお子さんがいるお母さんには最高のお店です。,0.00%
値段は間違えてぼられるし刺身は最悪でした,値段は間違えて,65.00%
ソフトバンク直営店より高く売っています,ソフトバンク直営店より高く売っています,0.00%
しかしこのフロントの女性は、結局エレベーターに乗れずに階段を下りてきた私たちに向かって、「タクシーがずーーーっと待ってますので、急いでください」と言ってきました。,しかしこのフロントの女性は、結局,80.25%
ビンや缶に入っているのは糀が死んでいるのですね。,ビンや,87.50%
大きなお店は苦手なので私にとってはアットホームな感じで楽しい時間を過ごすことができ大満足です。,大きなお店は苦手なので私にとってはアットホームな感じで楽しい時間を過ごすことができ大満足です。,0.00%
まだまだ聞きとれない単語もいっぱいですが、最近は英語を聞いてもビクッと構えることなくどんどん質問しちゃってます、,まだまだ聞きとれない単語もいっぱいですが、最近は英語を聞いても,44.64%
レッスンが楽しみで、何をしても長続きしない私でも、週1回きっちり通えています。,レッスンが楽しみで、何をしても長続きしない私でも、週1回きっちり通えています。,0.00%
また問診についてですが、他所受診にて原因不明のままの痛みについてしばらくの間レントゲンではなくMRI検査を検討していた為、やはり検査手段について医師と相談したかったです。,また,97.65%
なかなか、女性一人で、ゆっくり、休める宿は少ない、,なかなか、女性一人で、ゆっくり、,36.00%
高松以外のホテルエリアワンを利用したことがあり、その際にサービス、ホテルの施設などが気に入って、今回も利用させていただくことにしました。,高松以外のホテルエリアワンを利用したことがあり、その際にサービス、ホテルの施設などが気に入って、今回も利用させていただくことにしました。,0.00%
色々な飲食店が乱立する中、老舗の安定感と手軽さを兼ね揃えています。,色々な飲食店が乱立する中、老舗の安定感と手軽さを兼ね,21.21%
ただ、自分で同じような柔軟やマッサージをしてみてもうまくできないようだ。,ただ、自分で同じような柔軟やマッサージをしてみてもうまくできないようだ。,0.00%
席数はあまり多くないお店だが、食事の内容には満足出来る。,席数はあまり多くないお店だが、食事の内容には満足出来る。,0.00%
整体やマッサージで良くならなかった人にもオススメします。,整体やマッサージで良くならなかった人にもオス,21.43%
こちらのホテルは多少の設備の古さは感じなくも無いものの、スタッフさんのサービスが普通のホテルのように行き届いています。,こちらのホテルは多少の設備の古さは感じなくも無いものの、スタッフさんのサービスが普通のホテルのように行き届いています。,0.00%
この低料金でこの設備を提供してくれるのはありがたいですね。,この低料金でこの設備を提供してくれるのはありがたいですね。,0.00%
仕事に疲れてフラフラでチェックインしても、フロントの方をはじめホテルのスタッフの方々が気持ちのいい対応をしてくれるので、泊まりに行きたくなります。,仕事に疲れて,91.78%
値段相応といえばそれまでですが、風呂が狭いことだけが残念。,値段相応といえばそれまでですが、風呂が狭いことだけが残念。,0.00%
従業員の方々もいつも暖かく送り出してくれるので、私が千葉で宿泊するホテルはここできまりです。,従業員の方々もいつも,78.26%
ビジネスマンに対しての細かいところにまで気を配ったサービスがありがたく、ネットにキッチンにランドリーまで使えてこのお値段というのは安いと思います。,ビジネスマンに対しての細かいところにまで気を,69.86%
初めて宿泊したのですが、はじめてに感じない、そんなアットホームな雰囲気もあるホテルでした。,初めて宿泊したのですが、はじめてに感じない、そんなアットホームな雰囲気もあるホテルでした。,0.00%
ですがほかのブックオフの中型店では多くの店員を雇うと教育がされておらず、私語がうるさいと店員はそちらを向くと、なんと店員がおしゃべりしていた。,ですがほかのブックオフの中型店では多くの店員を雇うと教育がされておらず、私語がうるさいと店員はそちらを向くと、なんと店員がおし,11.27%
もう少し早い時間に営業していると嬉しいですが、お店のスタンスはgoodです。,もう少し早い時間に営業していると嬉しいですが、お店のスタンスはgoodです。,0.00%
あまり期待していなかったのに結構な額になったのでとてもうれしかったです。,あまり期待していなかったのに結構な額になったのでとてもうれしかったです。,0.00%
西友の中にあり、入りやすい雰囲気なので、初めての方にもオススメできます。,西友の中にあり、入りやすい雰囲気なので、初めての方にもオス,19.44%
リーズナブルな価格、味は勿論のこと、若いマスター夫婦の温かい雰囲気についつい長居してしまいます。,リーズナブルな価格、味は,75.00%
姫路の良く行く美容室でしたっ,姫路の良く行く美容室でしたっ,0.00%
感じのいいスタッフさんなので安心して通えます。,感じのいいスタッフさんなので安心して通えます。,0.00%
駐車場はあるものの立体駐車場で出入りに時間がかかり、6号と14号の交差点前で交通量が多くかつ駅前直結なため常に混雑しており、事実上地元の人以外のアクセスは辛いです。,駐車場はあるものの立体駐車場で出入りに時間がかかり、6号と14号の交差点前で交通量が多くかつ駅前直結なため常に混雑しており、事実上地元の人以外のアクセスは辛いです。,0.00%
テキストもとても分かりやすいですし、旅行やホームステイに使える英語を勉強、練習できるので大変気に入っております。,テキストもとても分かりやすいですし、旅行やホームステイに使える英語を勉強、練習できるので大変気に入っております。,0.00%
小さいお店なので常連さん優先なのは仕方がないですね。,小さいお店なので常,65.38%
振袖はかなり豊富で流行りのトレンド着物からベーシックなものまで色々とありました。,,100.00%
つけ麺の王様は間違いなくここ。,つけ麺の王様は間違いなくここ。,0.00%
袋や箱が、簡素で格好いいと思います。,袋や箱が、簡素で格好いいと思います。,0.00%
味が少し濃いかなぁ。,味が少し濃いかなぁ。,0.00%
院長と話をしたところ、腰痛治療も得意なようです。,院長と話をしたところ、腰痛治療も得意なようです。,0.00%
お客さんはガヤガヤしたところがイヤな方はいいかもしれません。,お客さんは,83.33%
"石川悦男元党首は,宗教法人の総本山に異動となりました。",石川,92.59%
おいしいと聞いてただけに姉には申し訳なくてホントに最悪です,おいしいと聞いてただけに姉には申し訳なくて,27.59%
セレファイスの主神。,,100.00%
一郎の妻。,一郎の妻。,0.00%
なお、冬期には山腹にスポットライトで雪だるまが描かれる。,なお、冬期には山腹にスポットライトで雪だるまが描かれる。,0.00%
この建物は、初めオフィスとして用いられたが、1909年からは市庁舎として利用された。,この建物は、初めオフィスとして用いられたが、1909年からは市庁舎として利用された。,0.00%
誕生日10月16日。,誕生日10月16日。,0.00%
また、先生方をサポートする人材の育成、教員養成のあり方を詰めていく必要がある。,また、先生方をサポートする人材の育成、教員養成のあり方を詰めていく必要がある。,0.00%
事件が朝刊各版の締め切り間際に立て続けに起こったため、各新聞は配達先によって記事内容が一部異なっている。,事件が朝刊各版の締め切り間際に立て続けに起こったため、各新聞は配達先によって記事内容が一部異なっている。,0.00%
番外編に登場。,番外編に登場。,0.00%
最高なお店で毎回感動しています。,最高なお店で毎回感動しています。,0.00%
自分でも趣味で料理をするもので一層感心することが多いのです。,自分でも趣味で料理をするもので一層感心することが多いのです。,0.00%
1967年『シラノ・ド・ベルジュラック』で初舞台。,1967年『,76.00%
人間の体は何百万年前からそのことを知っていて、体の中にウイルス等の外敵が侵入してくると、彼らと戦うために脳から全身の細胞に指令を出して熱を出しているそうです。,人間の体は何百万年前からそのことを知っていて、体の中にウイルス等の外敵が侵入してくると、彼らと戦うために脳から全身の細胞に指令を出して熱を出しているそうです。,0.00%
東京にあるハイパーコンサルティング・ジャパンさんでは、パニック障害解消プログラムを組んでカウンセリングを実施しています。,東京にあるハイパーコンサルティング・ジャパンさんでは、パニック障害解消プログラムを組んでカウンセリングを実施しています。,0.00%
公称身長156cm。,公,90.00%
"また,木村党首が“参院選の目玉政策”として掲げたのが,“参議院の廃止”。","また,木村党首が“参院選の目玉政策”として掲げたのが,“参議院の廃止”。",0.00%
ボルバキアという共生細菌がいないと正常な成長や繁殖が困難であることが研究で明らかにされた。,ボル,95.56%
2007年9月5日発売。,2007年9月5日発売。,0.00%
文書をどのようにファイルするか。,文書をどのようにファイルするか。,0.00%
そのほかアダナ近郊のシルケリ・ホユックでは彼の名が刻まれた摩崖碑文が発見されているが、こうした屋外のヒッタイト碑文としては最古の例とされる。,そのほかアダナ近郊の,85.71%
次のカットまでのスタイリングも「パパッ」と出来てしまいます。,次のカットまでのスタイリングも「パパッ」と出来てしまいます。,0.00%
独立して活動する弦楽四重奏団としては日本で最も実績を重ねている団体の一つ。,独立して活動する弦楽四重,67.57%
そののち、連隊はレンドリースにより供与されたボストンに装備を変更した。,そののち、連隊はレ,74.29%
Ciao!,Ciao!,0.00%
ジェリーとリズは恋仲になるが、アンリはリズと結婚しようとしていた。,,100.00%
また、奴隷貿易の対象ではなく宗教上のライバルであった北アフリカのイスラム諸国は、19世紀には宗主国オスマン帝国の影響力が衰え、自立した群小政権もヨーロッパ勢力の経済的・軍事的な発展に対してほとんど為す術がないほど弱体化していた。,また、奴隷貿易の対象ではなく宗教上のライバルであった北アフリカのイスラム諸国は、19世紀には宗主国オスマン帝国の影響力が,47.37%
実際に万全ではなかったり手を抜いている時以外の、真弥が本気で戦った戦闘では必ずその相手に圧勝している。,実際に万全ではなかったり手を抜いている時以外の、真,50.98%
ただし完全に外海から隔てられたものはほとんどなく、ごく狭い海峡により外海とつながっているものが多い。,ただし完全に外海から隔てられたものはほとんどなく、ごく狭い海峡により外海とつながっているものが多い。,0.00%
以下は「表向き」を好むと答えた人間の割合である。,以下は「表向き」を好むと答えた人間の割合である。,0.00%
バトルに敗北するとどうなるかは作品ごとに決められている。,バトルに敗北するとどうなるかは作品ごとに決められている。,0.00%
通常この協議は1〜4年かかるとされている。,通常この協議は1〜4年かかるとされている。,0.00%
ひびの入ったパネル。,ひ,90.00%
昨日も仲間8人で楽しくおいしくいただきました。,昨日も仲間8人で楽しくおいしくいただきました。,0.00%
デビュー当時からテレビにはほとんど出演しないが、CS放送には出演したことがある。,デビュー当時からテレビにはほとんど出演しないが、CS放送には出演したことがある。,0.00%
"祖国を侵略者ベトナムから解放するその一点で闘う少年兵,少女兵の笑顔にまさるものはない。",祖国を侵略者ベトナムから解放するその一点で,51.16%
"しかし取材していても,特定のイデオロギーや党派組織の影響を感じません。","しかし取材していても,特定の",60.00%
エレクトロウェッティングは既存の液晶ディスプレイ生産ラインに変更を加えれば製造できるという。,エレクト,91.30%
しかし、ルートによっては悠弥と結婚することになり、彼女のルートでは全ヒロイン中、ハッピーエンドを迎える。,しかし、ルートによっては,76.92%
"今後,この様な問題の発生を防止する為,国家は厳しい規制を考える必要がある。","今後,この様な問題の発生を防止する為,国家は厳しい規制を考える必要がある。",0.00%
会社がお世話をしてくれなかったので自分で探したのですが、価格的にも割と負担のすくないこちらのマンスリーマンションを借りることになりました。,会社がお世話をしてくれなかったので自分で探したのですが、価格的にも割と負担のす,43.48%
野田佳彦首相は12月に中国を訪問する方向で最終調整に入った。,野田佳彦首相は12月に中国を訪問する方向で最終調整に入った。,0.00%
第1期終了後、素顔を晒して謎のレスラー「キャプテン・モロー」として過ごし、チャンピオンにまでなっていた。,第1期終了後、素顔を,80.77%
管轄する修道院がそもそも日本に存在しなかったのに、日本に正教会を伝えた亜使徒聖ニコライが日本伝道初期に掌院に昇叙されたことはその好例である。,管轄する修道院がそもそも日本に存在しなかったのに、日本に正教会を伝えた亜使徒聖ニコライが日本伝道初期に,27.14%
ガッローネは出資をあまり大規模に行なわず、マロッタと監督の手腕にすべてをゆだねている。,,100.00%
上記の理由で当時はさほど売り上げにつながらなかったが、1990年代後半以降、業務用・家庭用ゲームでこれと似た体感ゲームが登場してきている。,上記の理由で当時はさほど売り上げにつながらなかったが、1990年代後半以降、業務用・家庭用ゲームでこれと似た体感ゲームが登場してきている。,0.00%
その姿は見る者によって異なり、洋子には幼い頃の自分に見えた。,その姿は見る者によって異なり、洋子には幼い頃の自分に見えた。,0.00%
"事件の原因が新健康協会の教義にあったことは判決が認定しているようですし,裁判員の言葉の通り両親が子どもに対して“一生懸命愛情を持って接していた”のであれば,その愛情を間違った方向に走らせてしまった新健康協会は,なおのこと危険な団体であるということになります。","事件の原因が新健康協会の教義にあったことは判決が認定しているようですし,裁判員の言葉の通り両親が子どもに対して“一生懸命愛情を持って接していた”のであれば,その愛情を間違った方向に走らせてしまった新健康協会は,なおのこと危険な団体であるとい",6.98%
クロアチアは、アドリア海のイタリアとの中間線よりクロアチア側に、排他的経済水域を設定することを計画している。,クロアチアは、,87.04%
復興基本計画は、昭和20年から21年にかけて、市の関係部局や学識経験者、市民代表により復興計画に関する委員会で決定され、狭い市域に多くの人口を収容するために商工業・中小企業を発展させることを基本方針にし、区画整理の実施を幹線道路の整備による経済活動の円滑化とこれまで不足していた公園緑地の確保による都市美化、従来の不規則な街区整理を目的に、着実に着工する。,復興基本計画は、昭和20年から21年にかけて、市の関係部局や学,82.58%
土曜日の夜、仕事帰りに一人でふらりと立ち寄りました。,土曜日の夜、仕事帰りに一人で,46.15%
"最高裁の御威光によって,文科省の判断が“違法”認定。","最高裁の御威光によって,文科省の判断が“違法”認定。",0.00%
2009年地方競馬通算900勝達成。,2009年地方競馬通算900勝達成。,0.00%
エジプト情勢緊迫化の影響が国際商品市況へ波及し、世界景気に悪影響を及ぼす可能性が警戒された。,エジプト情勢,86.96%
漫画『DEATHNOTE』のパロディ。,漫画『DEATH,57.89%
すごろくを基本にしたゲームで、ドックロンが揺らす邪魔で落ちないようにしながらゴールまで進んでいく。,すごろ,93.88%
歴史上では、中国・後漢末期に発生した、党錮の禁で弾圧された集団の称として使われた。,歴史上では、中国・後漢末期に発生した、党,51.22%
キャラクターの心臓部とも言える、動作を制御するファイル。,キャラクターの心臓部とも言える、動作を制御するファイル。,0.00%
同じビルに調剤薬局もあるので会計後にそのまま向かうのが基本ルートです。,同じビルに調剤薬局もあるので会計後にそのまま向かうのが基本ルートです。,0.00%
なお同馬はこのレースに於いて発走枠入りを再三嫌がり、出走を遅らせたため一定期間出走停止とゲート再試験が科せられている。,なお同馬はこのレースに於いて発走枠入りを再三嫌がり、出走を遅らせたため一定期間出走停止とゲート再試験が科せられている。,0.00%
"また,この養護教諭は,砂糖玉をレメディーに変換するという装置を保健室に持ち込んでいた。","また,この養護教諭は,砂糖玉をレメディーに変換するとい",37.21%
線形作用素が有界であることと、連続であることは必要十分である。,線形作用素が有界であることと、連続であることは必要十分である。,0.00%
一方NASAのエイムズ研究センターが開発したナノセイルDは2008年8月にファルコン1ロケットによって打ち上げられるも打上げに失敗。,一方NASAの,89.39%
だんなさまにもこの気持ち良さを体感してもらって、スクールに通うOKをもらいます!,だんなさまにもこの気持ち良さを体感してもらって、スクールに通うOKをもらいます!,0.00%
冬季に利用。,冬季に利用。,0.00%
このため先に派遣されていた2個偵察機隊に加え、新たに偵察機隊を追加派遣することとなり、事変勃発から1ヵ月後に追加編制されたのが二三空である。,このため先に派遣されていた2個偵察機隊に加え、新たに偵察機隊を追加派遣することとなり、事変勃発から1ヵ月後に追加編制されたのが二三空である。,0.00%
なお、常陸国から佐竹氏の秋田転封に随行した菊池氏が数流見える。,なお、常陸国から佐竹氏の秋田,54.84%
かけがえのない家族を突然失う悲しみを知るだけに、できることをしたいと考えている。,かけがえのない家族を突然,70.00%
そして、テレビ朝日同様縁取りは行われていない。,そして、テレビ朝日同様縁取りは行われていない。,0.00%
上に引用した部分以外も同様です。,上に引用した部分以外も同様です。,0.00%
欧州不正対策局の付属機関である欧州技術・科学センターは、2002年の時点で最大で200万枚の偽造硬貨が出回っていると推測している。,欧州不正対策局の付属機関である欧州技術・科学センターは、2002年の時点で最大で200万枚の,29.23%
新ルールを聞いて、各々に想いを語った。,新ルールを聞いて、各,47.37%
マイカーの輸送力は公共交通機関に比べて遥かに劣るため、比較的小規模な都市でも混雑問題が深刻化する。,マイカーの輸送力は公共交通機関に比べて,61.22%
私は高校生の頃に臨床心理士になりたいと思い、心理学が学べる大学を片っ端から調べ、行けるだけオープンキャンパスに行きました。,私は高校生の頃に臨床心理士になりたいと思い、心理学が学べる大学を片,45.90%
ストーリー重視の作品を中心に掲載しているため過激な性的描写はほとんど見あたらない。,ストーリー重視の作品を中心に掲載しているため過激な性的描写はほとんど見,14.63%
直純より一年早く務め始めている。,直純より一年早く務め始めている。,0.00%
子供の頃は『仮面ライダーBLACK』や『機動刑事ジバン』が好きだった。,子供の頃は『仮面ライダーBLACK』や『機動刑事,31.43%
注文をすぐにとりにこない。,注文をすぐにとりにこない。,0.00%
北沢氏は防衛省と自衛隊の内部の検討だとした上で、派遣の根拠となる法令に関して防衛省設置法を念頭に「派遣が可能か検討している」と述べた。,北,98.51%
コウスケたち三年二組の担任。,,100.00%
中学卒業後は品茂先生とメル友になり、ヒナノと同じ高校に進学した。,中学卒業後は品,78.12%
潜水士になる前は会社も嫌になって辞め、親も納得するという理由で海上保安庁に入庁した経緯から、あらゆる境遇に逃げてきていたと自認しているが、仙崎と行動するうちに潜水士としての成長も見せている。,潜水士になる前は会社も嫌になって辞め、親も納得するとい,71.58%
また雨が降ると、鉄砲水となって渓谷内を通過していった。,また雨が,85.19%
"海老澤代表が統一教会の関係の人か訊くと“いえ,どなたかから聞いたのですか?”",海老澤代表が統一教会の関係の人か,57.89%
雰囲気がすき!,雰囲気がすき!,0.00%
私はここの病院に行き、人が怖くなり、外にでれなくなりました。,私はここの病院に行き、人が怖,53.33%
こうした技術を利用して一台のコンピュータの処理能力を飛躍的に向上させたものはスーパーコンピュータと呼ばれ、複数のコンピュータを統合して全体として処理能力を上げたものはコンピュータ・クラスターと呼ばれる。,こうした技術を利用して一台のコンピュータの処理能力を飛躍的に向上させたものはスーパーコンピュータと呼ばれ、複数のコンピュータを統合して全体として処理能力を上げたものはコンピュータ・クラスターと呼ばれる。,0.00%
趣味はソフトボール・マラソン・飲酒。,趣味はソフトボール・マラソン・飲酒。,0.00%
チチュウカイリクガメ属の模式種。,,100.00%
自分でも説明できないものを他人に勧めるのはやめてほしいものです。,自分でも説明できないものを他人に勧めるのはやめてほしいものです。,0.00%
英語が分からない私でしたが行ってみるとレベルに合わせてクラスが分かれていました。,英語が分からない私でしたが行ってみるとレベルに合わせてクラスが分かれていました。,0.00%
アドヴァンスの外壁には明日8月6日開催の荒川灯籠流しのポスターが貼ってあった。,,100.00%
店舗の見た目は正直不安をあおるものではありますが、安さと使い勝手は申し分ないと思います。,店舗の見た目は正直不安をあおるものではありますが、安さと使い勝手は申し分ないと思います。,0.00%
よって女子は完全内湯で開放感・景観はゼロでした。,よって女子は完全内湯で開放感・景観はゼロでした。,0.00%
収録曲など詳細は後日発表予定。,収録曲など詳細は後日発表予定。,0.00%
見積もりは出張や電話でしますが、家具の種類と修理項目別におよその見積もりをするフォームがあります。,見積もりは出張や電話でしますが、家具の種類と修理項目別におよその見積もりをするフォームがあります。,0.00%
