Reference Text,Hypothesis Text,WER Score
血の流れの末端はうなじの下向きに湾曲した線で停止しており、なにか冠のようなものに原因が有るとすれば、茨の枝が後頭部にはまった高さにその線があるように見える。,血の流れの末端は,89.74%
戦後は1906年に装甲巡洋艦リューリク艦長に着任。,戦後は1906年に装甲巡洋艦,44.00%
相手GKと1対1になったりだとか、完全にフリーでシュートを打つというのもなかった。,相手GKと1対1になったりだとか、完全にフリーでシュートを打つとい,19.51%
"手配書の内容だが,記者の身長も“185cm位”から“180cm位”に修正されている。","手配書の内容だが,記者の身長も“185cm位”から“180cm位”に修正されている。",0.00%
"この写真を掲載しているのは,東京都内の店舗デザイン会社です。","この写真を掲載しているのは,東京都内の店舗デザイン会社です。",0.00%
ろうそくとアルコールランプを用い、炎の強さや大きさが放射能に当たり、炎からの距離に応じて感じる明るさや温かさは放射線量に当たることを関連づけて学んだ。,ろうそくとアルコールラン,84.00%
知っているCMばかり。,知っているCMばかり。,0.00%
古町の老舗店店主から店や町の歴史を聞く「古町老舗・名店巡りコース」や「西大畑・先人の偉業をたどるお屋敷町散歩コース」など12コースあり、一日2コースずつ開く。,古町の老舗店店主から店や町の歴史を聞く「古町老舗・名店巡りコース」や「西大畑・先人の,46.84%
この山寺のアイディアは、後に『ルパン三世風魔一族の陰謀』にて流用される。,この山寺のアイディアは、後に『ルパン三世風魔一族の陰謀』にて流用される。,0.00%
当時は調騎分離される前だったこともあり、調教師の清水茂次が20戦中19戦に騎乗している。,当時は調騎分離される前だったこともあり、調教師の清水,40.91%
同化産物は穀粒生産に向け直されるようになり、商業的な収穫のための化学肥料の効果が特に増加する。,同化産物は,89.36%
両親は転勤で北海道に在住しそれが延期となり、姉はまもなく海外へ留学のため親の意向に逆らいマンションを借りて一人暮らしをする。,両親は,95.16%
同署によると、ドラマの撮影は行われず、違約金も返却されないため、女性が2月に被害を届け出た。,同署によると、ドラマの撮影は行われず、,58.70%
翌12日より五島産業汽船が同航路の運航を開始したが、2006年4月をもって廃止。,翌12日より五島産業汽船が同航路の運航を開始したが、2006年4月をもって廃止。,0.00%
翌年に試作機が完成しているが、減速装置の不調と重量過大が最後まで改善されなかった。,翌年に試作機が完成しているが、減速装置の不調と重量過大が最後まで改善されなかった。,0.00%
食後のラテと小さなデザートもお気に入り。,食後のラ,80.00%
コンピュータにおけるデータログでは、障害などが発生したとき、何が起きたのかを説明できるようにするためにプログラムが自動的にある範囲のイベントを記録する。,コンピュータにおけるデータログでは、障害などが発生したとき、何が起きたのかを説明できるようにするためにプログラムが自動的にある範囲のイベントを記録する。,0.00%
"受付で訊くと展示会は招待制とのことだったが,モバイルHPにその旨の記載がないことを告げると責任者を呼ぶから待つようにと言われた。",受付で,95.31%
"「MAX11836」はユーザー定義のハプティックパターンのオンチップ保存,再生ロジック,出力設定可能なDC-DC変換,および高い容量性負荷用の出力ドライバを備えている。",「MAX11836」はユーザー定義のハ,77.38%
基盤左側に某有名PC周辺機器メーカーのロゴが見えます。,基盤左側に,81.48%
いよいよイベントもお開きの時間となり、3人は来場者に向け1人ずつコメント。,いよいよイベントもお開きの時間となり、3人は来場者に向け1人ずつコメント。,0.00%
これのお返しとして、寝屋親が寝屋子にごちそうをふるまうことを「寝屋子振舞い」という。,これのお返しとして、寝屋親が寝屋子にご,54.76%
アッシリア王名表では彼の記述の後に「食べつくされる」という注釈がついている。,アッシリア王名表では彼の記述の後に「食べつくされる」とい,26.32%
女優のランキングでは、20代から30代までの票がいろんな女優にばらけたのに対し、40代から60代までの票が、オードリー・ヘップバーンやマリリン・モンローに集中したことで、上位に往年のハリウッドスターがランキングする結果となりました。,女優のランキングでは、20代から30代までの票がいろんな女優にばら,71.55%
菅直人首相は28日、円高で加速しかねない産業空洞化を防ぎ、地方を中心に雇用を確保するため、国内への工場立地などの推進を目指す「日本国内投資促進プログラム」の策定を直嶋正行経済産業相に指示した。,菅直人首相は28日、円高で加速しかねない産業空洞化を,72.92%
現在では、観光客も多く訪れるようになっている。,現在では、観光客も多く訪れるようになっている。,0.00%
代わりの人がやったからって上手くできるのかなという感じもあります。,代わりの人がやったからって上手くできるのかなとい,27.27%
"創価学会員も参加している運動を“左翼&唯物論”と言われても,意味がよくわかりません。",創価学会員も参加している運動を“左翼&,54.76%
無邪気で素直な性格であるが、少し弱虫。,無邪気で素直な性格であるが、少し,15.79%
2011年8月に行われた韓国プロ野球ドラフト会議にて、LGツインズより8位指名を受けたが、宋は日本のドラフト会議でも指名の対象になっており、日本でのプレーを希望していることからLGの指名を拒否。,2011年8月に行われた韓国プロ野球ドラフト会議にて、LGツイン,67.01%
小田急の通勤車両では初めて他事業者路線への乗り入れを前提とした車両になることから、それまでの小田急の通勤車両の標準仕様とは異なる新技術が採用された。,小田急の通勤車両では初めて他事業者路線への乗り入れを前提とした車両になることから、それまでの小田急の通勤車両の標準仕様とは異なる新技術が採用された。,0.00%
同じく11代目として登場したのが松熊由紀である。,同じく11代目として登場したのが松熊,25.00%
神奈川県横浜市に所在するNPO法人。,神奈川県横浜市に所在するNPO法人。,0.00%
"これはTPが南下される時,神様と約束された南北統一をなすことです。","これはTPが南下される時,神様と約束された南北統一をなすことです。",0.00%
気軽に立ち寄れるネイルサロンなので、初めての人でも是非通ってみてください。,気軽に立ち寄れるネイルサロンなので、初めての人でも是非通ってみてください。,0.00%
ヒットメーカーに当たりが出ない。,ヒットメーカーに当たりが出ない。,0.00%
"私は“あるんだ”という以外ないので,議論になります。",私は“あるんだ”とい,61.54%
デドフスクにはM9幹線道路が通るほか、モスクワからリガに向かう鉄道も通る。,デド,94.59%
日置藩領主。,日,83.33%
一旦はその考えを受け入れたが、CNRT率いる野党連合とフレティリンは、何週間も論争を繰り返したが合意には至らなかった。,一旦はその考えを受け入れたが、CNRT率いる野党連合と,54.24%
1635年か36年にアントワープの画家組合に加入。,1635年か36年にアント,48.00%
"2004年の推計では100,771人に減少している。",2004年の,76.92%
2007年3月にFIFA女子ワールドカップの出場権をかけた大陸間プレーオフで2003年と同様にメキシコとホーム・アンド・アウェーで対戦。,2007年3月にFIFA女子ワールドカップの出場権をかけた大陸間プレーオフで2003年と同様にメキシコとホーム・アンド・アウェーで対戦。,0.00%
御手洗学園高等部入学直後にミステリー執筆技術を実践的に習えるものと勘違いし、実践ミステリ倶楽部に仮入部する。,御手,96.30%
発表会などのイベントでは、生徒さんたちの演奏だけでなく、講師陣のセッションもかなり見応えがあります♪,発表会などのイベントでは、生徒さんたちの演奏だけでなく、講師陣のセッションもかなり見応えがあります♪,0.00%
国民運動連合所属。,国民運動連合所属。,0.00%
まもなくしてミトライはラテンアメリカの芸術・文化に魅了されはじめた。,まもなくしてミトラ,73.53%
そこで、うなぎ屋が山伏を追っかけてその通りに言うと「わしゃ。,そこで、,86.67%
"正午からのデモでは,紀尾井町の文芸春秋本社通用門前に30名程の信者が並び,初日からリーダーを務める井口氏の号令で一人ずつビルに向かい抗議の演説。","正午からのデモでは,紀尾井町の文芸春秋本社通用門前に30名程の信者が並び,初日からリーダーを務める井口氏の号令で一人ずつビルに向かい抗議の演説。",0.00%
同大統領は、EU加盟および欧州統合を目指す意向を表明した。,同大統領は、EU加盟および欧州統合を目指す意向を表明した。,0.00%
したがって、横滑り側の片翼の揚力が反対側よりも大きくなり、エルロン操作を行なわなくとも傾きは回復する。,したがって、横,86.27%
その理由は“科学の無視”です。,その理由は“科学の無視”です。,0.00%
艦名はエイの一種であるスケートに因む。,艦名は,84.21%
脱線の原因は不明で、地元の消防局は、煙に有害物質が含まれている可能性があると周辺の住民に注意を呼びかけている。,脱線の原因は不明で、地元の消防局は、,67.27%
こうしたことは、後の大洪水時代においても同様であり、貴族共和制の弱点を突かれたと言える。,こうしたことは、後の大洪水時代においても同様であり、貴族共和制の弱点を突かれたと言える。,0.00%
安徽省安慶出身。,安,87.50%
ペリューは、1804年に少将に昇進した。,,100.00%
グレズリー式連動弁装置は実質上は付加装置であって、外側二気筒の弁装置の位置を逆向きに合成して中央シリンダーの弁位置を決めている。,グレ,96.88%
目標が超音速飛行している場合においても、その時だけ短時間飛行できれば問題無く、長時間の超音速飛行によって追尾する必要は無いからである。,目標が超音速飛行している場合においても、その時だけ短時間飛行できれば問題無く、長時間の超音速飛行によって,22.39%
新快速の運行時間外などは快速としても運用され、稀に湘南色との混色編成などもあった。,新快速の運行時間外などは快速としても運用され、,43.90%
13歳の頃から数々の舞台に出演しており、アル・パチーノとの共演歴もある。,13歳の頃から数,77.78%
当初、民主党の西村智奈美が「審議に100時間は必要だ」と主張し、与党側も「重要法案」指定を見送ったことから、第171回国会での公文書管理法の成立は絶望視されていた。,当初、民主党の西村智,87.80%
神奈川県鎌倉市北鎌倉出身。,神奈川県鎌倉市北鎌倉出身。,0.00%
唯一、最初から冥術を使用できるクラス。,唯一、最初から,63.16%
1883年に家族に連れられてドイツに移住。,1883年に家族に連れられてドイツに移住。,0.00%
味は申し分ない。,味は申し分ない。,0.00%
そして5月にリリースした「Story」は8位初登場の後、売上枚数30万枚、ダウンロード件数400万件となり、同曲で初のNHK紅白歌合戦出場を果す。,そして5月にリリースした「Story」は8位初登場の後、売上枚数30万枚、ダウンロード件数400万件となり、同曲で初のNHK,15.07%
詳細は槍槓を参照。,詳細は槍,55.56%
プードルの女の子のキャラクター。,,100.00%
僕ができるのはクルマのフィードバックだけ。,僕ができるのはク,61.90%
バスは園児19人と運転手、幼稚園の職員の計21人が乗車し、幼稚園に向かう途中だった。,バスは園児19人と運転手、,69.05%
一般的にハニー・ライトニング・フレアより威力が高い。,一般的にハニー・ライトニ,53.85%
この地形を利用している生物がアキアカネである。,この地形を利用している生物が,39.13%
14日未明、ジャーヴィスはスペイン艦隊が風上35マイルにあることを知った。,14日未明、,83.78%
考え方の源流は、アルキメデスが円周率の近似値を計算する際に用いた方法にまで遡るが、現代的な形での定式化はガウスによってなされた。,考え方の源流は、アルキ,82.81%
非常に楽しみです。,非常に楽しみです。,0.00%
MVPは打率.450、2本塁打、6打点の成績をあげたアラン・トランメルが初選出。,MVPは打率.450、2本塁打、6打点の成績をあげたアラン・トラ,20.00%
ラジカルは反応性が高く、生物学的環境ではたいていの場合あまり高濃度では存在せず、ラジカルに1電子を奪われた分子が他の分子から電子を引き抜くとその分子がさらにラジカルを形成するので反応は連鎖的に進行する。,ラ,99.01%
会社の業務もナイフや刀剣の売買が主体となるが、いずれの名称も同好会的な誤解を生じ易いため、そうした誤解を上手く利用して業績を上げたようである。,会社の業務も,91.55%
これは、学校教育や大手新聞やテレビや書籍で、「日本は韓国の優れた文化を受け入れるだけの文化劣等国」「有史以来一枚見下げるべき文化的劣等者」「韓半島に比べてみすぼらしくて短い歴史しか持たず、歴史を捏造するしかない日本」というような対日蔑視に基づいた誤った論評が日常的に行われたり、日本列島を指す「島国」という言葉が「劣等で未開」という意味で使われて、駐日韓国大使がテレビのインタビューで使うまでになっていることからも伺える。,これは、学校教育や大手新聞やテレビや書籍で、「日本は韓国の優れた文化を受け入れるだけの文化,78.67%
同校は1923年に創立された、ヒューストンでは最も長い歴史を誇る法学校で、模擬裁判プログラムがつとに良く知られている。,同校は1923年に創立された、ヒューストンでは最も長い歴史を誇る法学校で、模擬裁判プログラムがつとに良く知られている。,0.00%
横須賀線への転属後、主電動機を強力形に交換した7両が新形式のモハ53形を付与された。,横須賀線への,85.71%
変更点の詳細については、タイムクライシス4の項を参照のこと。,変更点の詳細については、タイムクライ,40.00%
一部で9月中間期の連結営業利益が36億円前後と前年同期比35%程度増えたようだと伝えられたことが買い材料となった。,一部で9月中間期の連結営業利益が36億円前後と前年同期比35%程度増えたようだと伝えられたことが買い材料となった。,0.00%
便宜的に分類したがもちろん複数のケースにまたがった適応を示す動物も多い。,便宜的に分類したがもちろん複数のケースにまたがった適応を示す動物も多い。,0.00%
12月2日の午後、ドイツ空軍パイロット、ヴェルナー・ハーンはMe210でバーリを上空から偵察した。,12月2日の午後、ドイツ空軍パイロット、,59.18%
暴騰する食料価格や大災害で人心は荒廃し、食料目当ての暴動や若者の退廃が進行。,暴,97.37%
幸福の科学学園の毎時4.20マイクロシーベルトというこの基準を上回ります。,幸福の科学学園の毎時4.20マイクロ,51.35%
長時間拘束され半軟禁状態の女性もいた。,長時間拘束され半,57.89%
同発電所は老朽化した小規模の発電所で、警備は手薄だった。,同発電所は老,78.57%
回転ジェットによる体当たり攻撃。,回転ジェットによる体当たり攻撃。,0.00%
屋根のアンテナにカラスが止まっていたずらをするし、屋根が汚れてこまるからと、調査の依頼がありました。,屋根のアンテナにカラスが,76.00%
"そのカステラは,表面に“祝3.16広宣流布記念の日”と印字されており,これを買うと,創価学会のシンボルである3色デザインの紙袋に入れてくれます。",その,97.22%
13世紀の建築は1456年から1466年にかけて新しいサンクチュアリに合うように改築された。,13世紀の建築は1456年から1466年にかけて新しいサンク,34.78%
インクは、大きく分けてビン入りとカートリッジ入りの2種類の形態で流通している。,インクは、大きく分けてビン入りとカート,51.28%
勧誘員と勧誘対象者。,勧誘員と勧誘対象者。,0.00%
また、攻撃手法としてはJavaScriptの難読化による手口や、PDFを利用した攻撃が引き続き増加しており、フィッシング詐欺の発生件数は2009年のピーク時に比べて82%減少したが、依然として金融機関が主要ターゲットとして脅威に晒されているとしている。,また、攻撃手法としてはJava,88.10%
"これがまた,うまい。","これがまた,うまい。",0.00%
艦長は、爆薬をリモコンによる遠隔操作で爆発させて艦内の機材や機密文書等を爆破処分し、証拠を隠滅しようとしたが、効果は不十分に終わった。,艦長は、爆薬をリモコンによる遠隔操作で爆発させて艦内の機材や機,53.73%
アイドルユニットとしても売り出され、フリーランスになってからは主演Vシネマの主題歌CDもだし、歌手デビューも果たす。,アイドルユニットとしても売り出され、フリーランスになってからは主演V,41.38%
毛布にくるまって寒さをしのぎ、おにぎり1個を家族4人で分け合った。,毛,96.97%
動きは緩慢だが常にスーパーアーマー状態であり、ほとんどの攻撃を受けてもひるまない。,動きは,92.68%
よく見ると、背中や腹にあるぶち模様がいずれもハートの形をしており「体全体にハートがある猫」と口コミで広がったという。,よく見ると、背中や腹にある,77.59%
"タダで留学生が韓国料理をふるまい,韓国語も教えるので,日本語を教えてもらったり,友達になってもらいたい。","タダで留学生が韓国料理をふるまい,韓国語も教えるので,日本語を教えてもらったり,友達になってもらいたい。",0.00%
「VANITYDANCE」と「Labyrinth」は、オムニバスアルバム『漆黒のシンフォニー』に収録されたもののリミックスバージョンである。,「VANITY,90.00%
そのうちの幾つかはイギリス当局がケニア人を抑圧した方法をそのまま転用したものだった。,そのうちの幾つかはイギリス当局が,61.90%
縦に並ぶ4門の砲台から、それぞれバウンド弾、ブーメラン弾、誘導弾、レーザーを発射する。,,100.00%
木炭デッサンにおいて消しゴムは硬くて紙を傷めるために使用できず、柔らかく油分の少ない食パンを代用している。,木炭デ,94.34%
"大変,卑怯といわざるをえない。","大変,",80.00%
いろんなメニューがあり、どんどん頼みたくなっちゃいますね!,いろんなメニューがあり、どんどん頼みたくなっちゃいますね!,0.00%
"この手の本が翻訳されることは少ないと思っていたのだが,昨今のソーシャル流行りが要因かはわからないが,翻訳本が原書から1年もしないでリリースされたのはよい知らせだ。","この手の本が翻訳されることは少ないと思っていたのだが,昨今のソーシャル流行",54.32%
「1997〜1999」とは、FBIがデビューした年から本作が発売された年を意味する。,「1997〜1999」とは、FBIがデビューした年から本作が発売された年を意味する。,0.00%
生きていくことは美しいことだといつも思う。,生きていくことは美しいことだといつも思う。,0.00%
ドラゴンズは9番チェンからの打順だったが、代打に水田を送る。,ドラゴン,86.67%
ダウンタウンの17ブロックにわたって広がるシアター・ディストリクトには9つの著名な演技芸術団体が本部を置き、6ヶ所のホールが立地している。,ダウンタウンの17ブロックにわたって広がるシアター・デ,60.87%
昔ながらの「売りっぱなし」商売をしている。,昔ながらの「売り,61.90%
中学ではシェークスピア・ギリシア哲学・演劇にも熱中した。,中学ではシェークスピア・ギリシア哲学・演劇にも熱中した。,0.00%
後の稲川組幹部)と知り合い、出口辰夫と兄弟分となった。,後の稲川組幹部)と知り合い、出口,40.74%
会議後は資料作成などに着手し、退社は夜12時前後。,会議後は資料作成などに着手し、退社は夜12時前後。,0.00%
現在の計画停電の3時間であれば、つけっぱなしにしても大丈夫そうだ。,現在の計画停電の3時間であれば、つけ,45.45%
"皮肉なことに信濃町は,共産党タウン以上に北朝鮮的な街なのである。","皮肉なことに信濃町は,共産党タウン以上に北朝鮮的な街なのである。",0.00%
一般的に、貧栄養な外洋では生物過程による全エネルギー・炭素フラックスに占める微生物環の割合が沿岸や内湾よりも高い。,一般的に、,91.23%
ストリンガー氏は震災発生時は米国におり、被災現場を訪れたのは初めて。,,100.00%
ジョージ・ハリスンの作品。,ジョージ・ハ,53.85%
前作では10枚以上コインを取るとスーパーキノコが出てきたが、本作ではコインが5枚散らばるようになっている。,前作では10枚以上コインを取るとスーパーキノコが出てきたが、本作ではコインが5枚,24.53%
籾井王子から紀州街道旧道を西に1.5kmほど進み、海営宮池という池の近くの交差点を北に向かう脇道に入ったところに墓地があり、その北側に石碑と説明板がある。,籾,98.70%
2006年11月8日、関東地方から東北地方にかけてカリオペとリヌスによる恒星の掩蔽がアマチュア天文家たちによって観測され、カリオペとリヌスの正確な大きさと位置が求められた。,2006年11月8日、関東地方から東北地方にかけて,70.93%
一方、東海地方北陸地方以東の東日本は、比較的広い沖積平野に恵まれていた上に、太平洋側を中心に低開発状態の洪積台地や河岸段丘面の農地開発の余地が大きく、日本海側を中心に扇状地でも開発の余地が広く存在したため、江戸時代に至っても、急峻な山地の傾斜面を切り開いて棚田をつくるまでに至らなかったところが多く、棚田はあまりつくられないか、つくられた場合でも畔や土手は傾斜が緩やかな土盛りとなり、西日本とは対照的な棚田風景となった。,一方、東海地方北陸地方以東の東日本は、比較的広い沖積平野に恵まれていた上に、太平洋側を中心に低開発状態の,75.24%
帰り道、あまり気持ちよかったのでフワフワしちゃいましたよ。,帰り道、あまり気持ちよかったので,44.83%
当駅の所在する地名より。,当駅の所在する地名より。,0.00%
右腕からチャージショットを放つ「ハイパーZEROブラスター」は火力が高く、空中でのけん制にも使えるなどゼロにとって重要な技となる。,右腕からチャージショットを放つ「ハイパーZEROブラスタ,56.92%
本当に焼いただけでいただけるというところが気に入っています。,本当に焼いただ,76.67%
安くて早いから、この系列店をよく使わせてもらっているが、ここはカットが下手過ぎる。,安くて早いから、この系列店をよく使わせてもらっているが、ここはカットが下手過ぎる。,0.00%
また利用したいです。,また利用したいです。,0.00%
"天理教は,新宿区高田馬場にある牛込大教会を開放。","天理教は,新宿区高田馬場にある牛",33.33%
"馬鹿な事を続けていれば信者からの求心力がどんどん失われていくでしょうから,そのままカルト崩壊へGO!",馬鹿な事を続けていれば信者からの,68.00%
生理的に嫌。,生理的に嫌。,0.00%
言い回しや態度が妙に芝居がかっており、プレイヤーからは「キモイ」と言われていた。,言い回しや態度が,80.00%
十メートル長の巨大なライフルと、周囲の景色に同化する機能を持つマントを駆使するスナイパー。,十メートル長の巨大なライフ,71.11%
猫が亡くなった今でも心から感謝しています。,猫が亡くなった今でも心から感謝しています。,0.00%
"2008年1月から6月に振り込め詐欺・オレオレ詐欺で使用された携帯電話約2,300台のうち約7割がソフトバンク携帯だったとの報道が12月にあった。","2008年1月から6月に振り込め詐欺・オレオレ詐欺で使用された携帯電話約2,300台のうち約7割がソフトバンク携帯だったとの報道が12月にあった。",0.00%
これにより業務協力で会員社の経営の効率化を図った。,これにより業務協力で会員社の経営の効率化を図った。,0.00%
水牛のような角を持つ漆黒の巨人の姿をしており、目から放つ光線であらゆる物を砂に変えて崩壊させる。,水牛のような角を持つ,79.17%
ただし、書いていないのか未採択なのかの区別をつけるために「研究」節内で「*私立大学学術研究高度化推進事業の採択はない。,ただし、書いていないのか未採択なのかの区別をつけるために「研究」節内で「*私立大学学術研究高度化推進事業の採択はない。,0.00%
"男は女の為に闘い抜いたとき女は心を寄せるのであって,何もしないで足の長さで女を釣ろうとするのはルンペンのやることである。","男は女の為に闘い抜いたとき女は心を寄せるのであって,何もしないで足の長さで女を",35.00%
後続の車両の方がBAの番号は若いが、BA-27の27は開発年度から来ているものと以降の車両はほぼ製作順に番号が並んでいる。,後続の車両の方がBAの番号は若いが、BA-27の27は開発年度から来ているものと以降の車両はほぼ製作順に番号が並んでいる。,0.00%
"ご理解とご協力,よろしくお願いいたします。","ご理解とご協力,よろしくお願いいたします。",0.00%
亜大の東浜も6回で12三振を奪った。,亜大の東浜も6回で12三振を奪った。,0.00%
直人の妻。,直人の妻。,0.00%
"まあAIDMA,AISASをはじめとするSIPSみたいな言葉には最近嫌悪感すらするのだけど,モデルとしては判りやすい。","まあAIDMA,AISASをはじめとするSIPSみたいな言葉には最近嫌悪感すらするのだけど,モデルとしては",10.17%
2006年には柏レイソルの監督に就任。,2006年には柏レイソ,42.11%
ポッドキャスト用アグリゲータの主な目的はRSSに関連付けされているポッドキャスト・ファイルのダウンロードだが、音楽再生機能を持ち、ダウンロードしたファイルを直接再生できるものも多い。,,100.00%
味付けは、あっさり目で、かなり調味料に気を使っているのかもしれません。,味付けは、あっさり目で、かなり調味料に気を使っているのかもしれません。,0.00%
ブラジルだけが、モーターやエンジンなど各国の先端技術を組み合わせることで、数千メートルの環境変化に耐えられる独自技術を開発した。,ブラジルだけが、モーターやエンジンなど各国の先端技術を組み合わせることで、数千メートルの環境変化に耐えられる独自技術を開発した。,0.00%
"こうした理由で,例えプラセボとしても,医療関係者がホメオパシーを治療に使用することは認められません。","こうした理由で,例えプラセボとしても,医療関係者がホメオパシーを治療に使用することは認められません。",0.00%
"新聞は,助産師が所属する団体名や療法名を報じていませんが,ホメオパシーを用いる団体と思われます。","新聞は,助産師が所属する団体名や療法名を報じていませんが,ホメオパシーを用いる団体と思われます。",0.00%
支持者によって20世紀最大の神学者と称される新正統主義のカール・バルトは、未完の主著「教会教義学」全4巻における第3巻、邦訳全36分冊中11冊分を創造説に割いている。,支持者によって20世紀最大の神学者と称される新正統主義のカール・バルトは、未,54.22%
日産は8月6日、軽自動車「オッティ」の一部仕様を変更し、同日より発売した。,日産は8月6日、軽自動車「オ,62.16%
翼端に付けていた増槽は機体の重心が前に寄り過ぎるために使用されず、主翼中央下面に滑らかな形状で装着できるように再設計された。,翼端に付けていた増槽は機体の重心が前に寄り過ぎるために使用されず、主翼中央下面に滑らかな形状で装着できるように再設計された。,0.00%
若い頃は土司の小作人や軍の人夫をして過ごす。,若い頃は土司の小作人や軍の人夫をして過ごす。,0.00%
クールな性格で、自らを「いやな子」と称する。,クールな性格で、自らを「いやな子」と称する。,0.00%
ヴァランゲル半島の北東部に位置する。,,100.00%
"統一教会足立教会の週報でも今回のイベントが信者に対して告知されていることから,集会の参加者にも統一教会信者が動員されるものと思われます。",統一教会足立教会の週,85.29%
第7回以降の大会で、サッカーのビクトリーゴールのように条件を満たした時点で勝ちとなる特別な勝利条件が加えられることが度々あった。,第7回以降の大会で、サッカーの,76.56%
反乱軍の一人。,反乱軍の一人。,0.00%
建築評論家。,建築評論家。,0.00%
しかし中松氏については警察関係者も苦笑い。,しかし中松氏については警察関係者も苦笑い。,0.00%
終盤のツール・ド・おきなわでは鳩村と共に最後まで走りぬき、30位に入る健闘を見せる。,終盤のツール・ド・おきなわでは鳩村と共に最後まで走りぬき、30位に入る健闘を見せる。,0.00%
"護符の由来どころか,そもそも杉山先生の気功能力の出自もナゾです。","護符の由来どころか,そもそも杉山先生の気功能力の出",21.88%
見学がてらの面接後も、電話で見学してみた印象を確認してくださって後で比較検討しやすいようにとアドバイスしてくださいました。,見学がてらの面接後も、電話で見学してみた印象を確認してくださって後で比較検討しやすいようにとアドバイスしてくださいました。,0.00%
プラスミドを改変してベクターとして利用する。,プラスミドを,72.73%
駐車場は狭いので混みあう時間帯は注意ですが、事前に電話をして到着時間を伝えておけば良いですね。,駐車場は狭いので,82.98%
散髪のやり方次第で頭脳は発達すると考えて、どの店の散髪がよいか理髪店を絶えず替えていた。,,100.00%
見上げる程の大きさの弧形が地表に露出しているが、これですら全体の一部でしかなく、全体は地殻を貫通して星の核にまで達している。,見上げる程の大きさの,83.87%
また、顕彰当時現役の選手も存在したが、いずれも既に全女を退団していた。,また、顕彰当時現役の選手も存在したが、いずれも既に全女を退団していた。,0.00%
